Koefisien_MFCC,Mean_Asli,Std_Asli,Mean_Clone,Std_Clone
MFCC_1,-395.4873,67.6089,-399.15567,91.72707
MFCC_2,161.06224,53.631184,135.89244,69.623604
MFCC_3,43.225147,32.658928,27.488997,33.188435
MFCC_4,22.380358,27.7558,18.562551,30.27383
MFCC_5,13.090371,23.76988,-1.4908195,19.918266
MFCC_6,-7.2315006,17.995972,-6.1120872,19.08552
MFCC_7,4.698056,18.751898,7.6063256,13.493086
MFCC_8,9.634882,11.955809,-7.4887376,15.686651
MFCC_9,-7.571434,14.350461,-9.901459,15.971422
MFCC_10,-5.637992,13.291597,7.2697253,12.627252
MFCC_11,8.30729,12.042892,2.868056,11.766471
MFCC_12,4.339168,11.059058,-11.087473,9.913689
MFCC_13,-6.974113,8.836888,-11.84877,9.765131
