Koefisien_MFCC,Mean_Asli,Std_Asli,Mean_Clone,Std_Clone,Mean_Diff,Std_Diff
MFCC_1,-357.60925,74.95562,-363.22726,84.478195,5.618012,9.522583
MFCC_2,151.84326,55.608143,136.78815,54.322445,15.055115,1.285698
MFCC_3,21.927841,32.3376,21.96696,31.686087,0.03912,0.651514
MFCC_4,12.872184,25.353853,27.479765,32.4567,14.607579,7.102846
MFCC_5,19.237846,24.74927,-20.501097,22.691973,39.738945,2.057297
MFCC_6,-3.469246,17.143084,-25.415443,19.615917,21.946198,2.472834
MFCC_7,-8.4013,17.974913,-5.67054,13.457546,2.73076,4.517366
MFCC_8,-4.403621,12.649302,-0.693096,10.099088,3.710525,2.550214
MFCC_9,-6.600356,12.825089,-8.975742,10.776316,2.375387,2.048774
MFCC_10,-9.90172,11.987928,-6.365942,10.530472,3.535778,1.457457
MFCC_11,-9.109436,12.154446,-1.664697,8.81472,7.444739,3.339726
MFCC_12,-5.37648,10.278979,-10.969808,9.026299,5.593328,1.25268
MFCC_13,-5.9762,8.29449,-4.692999,9.506874,1.283201,1.212384
