Koefisien,Mean,Std Dev,Min,Max,Median
MFCC-1,-395.4873,67.6089,-571.6071,-246.1148,-393.511
MFCC-2,161.0622,53.6312,0.0,257.3698,167.8153
MFCC-3,43.2251,32.6589,-64.6091,122.9087,42.9828
MFCC-4,22.3804,27.7558,-45.8967,102.2283,23.7687
MFCC-5,13.0904,23.7699,-53.6738,78.757,13.6872
MFCC-6,-7.2315,17.996,-59.3254,31.8185,-7.7117
MFCC-7,4.6981,18.7519,-45.9915,77.0179,6.1726
MFCC-8,9.6349,11.9558,-25.0262,50.0564,9.9139
MFCC-9,-7.5714,14.3505,-46.0979,31.9049,-7.3067
MFCC-10,-5.638,13.2916,-47.9197,29.8479,-6.0326
MFCC-11,8.3073,12.0429,-28.4537,41.8317,8.2946
MFCC-12,4.3392,11.0591,-31.9066,34.782,4.0875
MFCC-13,-6.9741,8.8369,-29.0751,22.9488,-8.0163
